SI. No.,Station,Climate,State,Lat. (oN),Lon. (oE),Alt. (m),Period,No. of patterns,Tmax (oC),Tmin (oC),RHmax,RHmin,Wind Speed,Solar Radiation,Sunshine Hours,,
1,Akola,Semi-arid,Maharashtra,20°42',77°02',282,2001-2003,1095,33.92986301,19.88273973,64.26666667,37.15159817,8.012146119,1.591598174,6.872222543,,
2,Anand,Semi-arid,Gujarat,22°33',72°58',45,"2001 Jan - May 2002, 2003-05",1612,33.65599504,19.72972457,79.74317618,42.23014888,3.616043734,2.732133995,8.357759365,,
3,Anantapur,Arid,Andhra Pradesh,14°41',77°37',350,2001-2005,1826,34.68283451,21.90939013,72.17871073,33.06701478,9.810607117,1.388280394,8.076211429,,
4,Bangalore,Semi-arid,Karnataka,12°58',77°35',930,2001-2005,1826,29.12853231,18.02614458,87.60383562,47.31161008,8.483406353,2.531161008,6.918810959,,
5,Bhubaneswar,Sub-humid,Orissa,20°15',85°50',25,2002-2005,1461,32.82984257,22.22577687,91.40588638,58.39356605,6.526694045,4.253661875,6.975154004,,
6,Bijapur,Arid,Karnataka,16°49',75°43',594,2001-2005 ,1826,32.75771984,19.29949683,77.59969451,43.91117101,5.861720349,1.482913472,7.007838938,,
7,Dapoli,Semi-arid,Maharashtra,17°46',73°12',250,2001-2005,1826,31.0948138,19.16777108,93.55736583,69.99303274,4.986308872,8.450219058,6.532590361,,
8,Faizabad,Sub-humid,Uttar Pradesh,26°47',82°08',133,2001-2005,1826,31.433488,18.29203674,85.02825351,53.46755333,3.461229607,2.477217963,6.969503239,,
9,Hissar,Arid,Haryana,29°10',75°44',215,2001-2005,1826,31.38456736,16.22732749,80.46659365,43.15607886,5.339167579,1.313088719,7.330449069,,
10,Jabalpur,Sub-humid,Madhya Pradesh,23°09',79°58',393,2002-2005,1461,31.45474886,18.57276763,77.70958904,42.76712329,3.779799087,4.418885845,6.807205479,,
11,Jorhat,Humid,Assam,26°47',94°12',86,2001-2005,1826,28.58258488,18.67652167,92.20450634,71.51341731,2.300832421,4.675082147,5.058862463,,
12,Kanpur,Semi-arid,Uttar Pradesh,26°26',80°22',126,2004-2005,731,31.5001368,19.04145007,79.58549932,54.07797538,5.603556772,2.008891929,6.3609375,,
13,Kovilpatti,Semi-arid,Tamil nNadu,9°10',77°52',90,2001-2005,1826,35.15668127,22.20854326,78.51588171,45.89813801,6.728148959,1.906133625,7.086911281,,
14,Ludhiana,Sub-humid,Punjab,30°56',75°52',247,2001-2005,1826,30.05725388,17.42426111,83.96701743,49.13802722,4.25702289,1.839978094,7.819813612,,
15,Mohanpur,Humid,West Bengal,21°52',87°26',10,2001-2005,1826,31.93971444,20.87683863,96.48567347,62.64430087,1.531816356,4.119222344,7.064664762,,
16,Palampur,Humid,Himacha Predesh,32°06',76°03',1291,2001-2005,1826,24.52813607,13.31244443,65.43473359,53.19818311,5.464950712,5.342940854,6.998424715,,
17,Parbhani,Semi-arid,Maharashtra,19°08',76°50',423,2001-2005,1826,33.69607956,18.40449069,70.58652793,40.01878423,5.088116101,2.531763417,8.762918949,,
18,Raipur,Sub-humid,Chhattisgarh,21°14',81°39',298,2001-2005,1826,32.84966401,20.08237175,79.38724934,43.90970663,5.447098073,3.243114473,6.81668989,,
19,Rakh Dhiansar,Sub-humid,Jammu and Kashmir,32°39',74°58',332,2005-2005,365,29.10136986,15.39726027,83.4630137,50.02465753,1.756164384,2.24630137,6.282191781,,
20,Ranchi,Sub-humid,Bihar,23°17',85°19',625,2005-2005,365,29.72958904,17.07589041,88.09041096,53.92328767,1.861944444,2.98109589,6.971780822,,
21,Ranichauri,Semi-arid,Uttarakhand,30°52',78°02',1600,2001-2005,1826,19.87825849,9.493357368,79.52628697,60.64184009,4.977064622,3.047535597,6.572015334,,
22,Samastipur,Sub-humid,Bihar,25°53',85°48',52,2004-2005,731,30.5268595,19.99104683,84.66648427,56.11901505,4.657318741,2.328356164,6.920782034,,
23,Solapur,Semi-arid,Maharashtra,17°41',75°56',25,2001-2005,1826,34.5253012,20.45117196,72.54709748,43.95317634,5.999452355,1.661007667,7.34720701,,
24,Thrissur,Humid,Kerala,10°31',76°13',26,2001-2005,1826,31.96976999,23.3945345,85.11445783,59.82601314,4.984627601,6.874260679,6.215531216,,
25,Udaipur,Semi-arid,Rajasthan,25°21',74°38',433,2001-2005,1826,31.70661559,16.50833225,70.24281551,36.53842133,4.022105013,1.572612267,8.280688041,,
